city_name,country,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,dominant_pollutant,aqi_category
Calgary,Canada,37.2,71.1,25.5,84.8,70.9,PM2.5,Moderate
Chengdu,China,123.3,117.8,63.5,112.8,136,CO,Unhealthy for Sensitive Groups
Buenos Aires,Argentina,49.4,56.9,28.9,58.3,83.4,PM2.5,Moderate
Tehran,Iran,118.4,94.4,64.1,89.8,119.3,CO,Unhealthy for Sensitive Groups
Rawalpindi,Pakistan,128.9,136,111.2,111.5,134.7,Ozone,Unhealthy for Sensitive Groups
Honolulu,USA,129.1,163.3,115.8,164.4,162,PM2.5,Unhealthy
Ulaanbaatar,Mongolia,22.2,82.1,49.3,34.6,68.1,Ozone,Moderate
Chengdu,China,462,388.3,259.6,485.8,350.2,PM2.5,Hazardous
Ulaanbaatar,Mongolia,127.3,122.6,77.7,105.6,111.6,CO,Unhealthy for Sensitive Groups
Wellington,New Zealand,54.3,30.7,41.3,40.9,60,CO,Moderate
Bishkek,Kyrgyzstan,113.2,129.4,90.6,86.9,148.7,Ozone,Unhealthy for Sensitive Groups
Vancouver,Canada,227.8,181.6,275,227.4,246.2,NO2,Very Unhealthy
Johannesburg,South Africa,131,122.8,138.1,183,160.9,PM2.5,Unhealthy
Zabol,Iran,48.6,80,29.8,85.3,63.2,PM2.5,Moderate
Casablanca,Morocco,431.2,373.9,378.3,354.5,380.3,CO,Hazardous
Athens,Greece,27,30.2,5.2,33.7,48.1,PM2.5,Good
Kathmandu,Nepal,45.2,69.3,57.8,78.2,97.1,PM2.5,Moderate
Stockholm,Sweden,165.4,131,142.5,174.4,152.9,PM2.5,Unhealthy
Zabol,Iran,20.6,88.4,44,55.6,95.2,Ozone,Moderate
Bishkek,Kyrgyzstan,185.1,230.1,270.6,240.8,260,NO2,Very Unhealthy
Rio de Janeiro,Brazil,97.9,104.4,92.2,89.3,101.1,Ozone,Unhealthy for Sensitive Groups
Bogota,Colombia,177,182.6,104.4,173.1,169,Ozone,Unhealthy
Gwalior,India,138.7,121.8,148.5,147.5,157.3,NO2,Unhealthy
Amsterdam,Netherlands,29.2,5.9,6.6,24.2,41.4,CO,Good
Auckland,New Zealand,112,125.6,120.2,136.2,197.3,PM2.5,Unhealthy
Peshawar,Pakistan,401.1,341.4,256.5,281.4,470,CO,Hazardous
Seattle,USA,41.8,78.7,63.7,74.2,72.4,Ozone,Moderate
Rio de Janeiro,Brazil,93.7,91.3,117.7,104.7,131,NO2,Unhealthy for Sensitive Groups
Dhaka,Bangladesh,111.9,163.1,140,156.5,161.4,Ozone,Unhealthy
Manila,Philippines,80.2,105.6,116.8,127.9,110.2,PM2.5,Unhealthy for Sensitive Groups
Manila,Philippines,23.6,34.5,4.2,31.8,31.6,Ozone,Good
Amsterdam,Netherlands,123.6,131.4,128.5,160.8,165.4,PM2.5,Unhealthy
Casablanca,Morocco,110.5,181.5,100.3,167.2,190.1,Ozone,Unhealthy
Wuhan,China,77.1,78.2,34.6,45.3,91.4,Ozone,Moderate
Johannesburg,South Africa,134,149.6,119.7,196.8,157.7,PM2.5,Unhealthy
Kabul,Afghanistan,13,39,20.6,25,43.5,Ozone,Good
Portland,USA,149.6,131.5,167.4,153.9,195.4,NO2,Unhealthy
Oslo,Norway,242.6,217,220.2,255.5,259.7,PM2.5,Very Unhealthy
Jakarta,Indonesia,49,67.2,73.2,46.6,67,NO2,Moderate
Allahabad,India,260.2,178.9,202.9,241.1,234.4,CO,Very Unhealthy
Jakarta,Indonesia,86.2,122.2,107.7,84,137.7,Ozone,Unhealthy for Sensitive Groups
Warsaw,Poland,309.9,387.3,439.1,356.9,370.2,NO2,Hazardous
Tehran,Iran,89.8,76,109.5,104,143.3,NO2,Unhealthy for Sensitive Groups
Peshawar,Pakistan,34.1,34.6,35.4,64.5,99.4,PM2.5,Moderate
Sydney,Australia,34.8,80.8,59.2,88.3,55.8,PM2.5,Moderate
Kathmandu,Nepal,106,89.7,100.7,93.6,136.8,CO,Unhealthy for Sensitive Groups
Paris,France,108,84.5,67.9,99.5,135.5,CO,Unhealthy for Sensitive Groups
Athens,Greece,95.4,115.4,89,122.1,115.7,PM2.5,Unhealthy for Sensitive Groups
Agra,India,48.8,55.8,30,82.5,73,PM2.5,Moderate
Dhaka,Bangladesh,80.2,109.4,109,119.9,126.4,PM2.5,Unhealthy for Sensitive Groups
Brussels,Belgium,160.4,253.8,249.2,233,216.3,Ozone,Very Unhealthy
Patna,India,216.5,276.6,208.4,245.7,263.5,Ozone,Very Unhealthy
Zurich,Switzerland,76.6,61.8,52.2,48.9,96.1,CO,Moderate
Wuhan,China,12.4,19.1,24.2,0.3,4.2,NO2,Good
Tokyo,Japan,56.7,69.1,25.7,45.6,68.6,Ozone,Moderate
Osaka,Japan,139.3,178.3,112.9,152.4,164.9,Ozone,Unhealthy
Ulaanbaatar,Mongolia,79.5,119.2,72,111.2,133.2,Ozone,Unhealthy for Sensitive Groups
Brisbane,Australia,115.4,133.5,118.8,125.6,124.6,Ozone,Unhealthy for Sensitive Groups
Kolkata,India,167.9,180.3,142.5,161.3,177.3,Ozone,Unhealthy
Copenhagen,Denmark,35.5,67.9,56.8,64.5,72.7,Ozone,Moderate
Madrid,Spain,96.6,74.8,77.4,125.5,122.8,PM2.5,Unhealthy for Sensitive Groups
Madrid,Spain,40.4,34.9,72.5,75.5,88.2,PM2.5,Moderate
Toronto,Canada,123.2,106.5,86,89.5,138.4,CO,Unhealthy for Sensitive Groups
Santiago,Chile,357.3,396.4,274.9,366,478.6,Ozone,Hazardous
Brussels,Belgium,93,113.7,95,83,134,Ozone,Unhealthy for Sensitive Groups
Yangon,Myanmar,133.4,128.8,147.1,159.8,193.2,PM2.5,Unhealthy
Rio de Janeiro,Brazil,172.7,143.6,128.5,194.1,173.3,PM2.5,Unhealthy
Rio de Janeiro,Brazil,144.8,163.1,142.1,147.4,174.6,Ozone,Unhealthy
Johannesburg,South Africa,447.5,426.2,387.4,310.1,398,CO,Hazardous
Paris,France,282.9,442.8,468.3,497.5,370.4,PM2.5,Hazardous
Bishkek,Kyrgyzstan,83.1,137.9,116.1,90.7,116.7,Ozone,Unhealthy for Sensitive Groups
Riyadh,Saudi Arabia,111.9,127,118.1,82.1,116.4,Ozone,Unhealthy for Sensitive Groups
Rio de Janeiro,Brazil,110.3,172.6,105.6,164.1,190.7,Ozone,Unhealthy
Kuwait City,Kuwait,351.3,358,309.9,406.4,468.5,PM2.5,Hazardous
Berlin,Germany,273.8,280.7,376.4,404,457.7,PM2.5,Hazardous
Osaka,Japan,34.2,84.4,47.4,36.6,78.5,Ozone,Moderate
Gwalior,India,93.9,112.1,106.6,80.4,138.7,Ozone,Unhealthy for Sensitive Groups
Reykjavik,Iceland,211.9,216.7,220.4,203.6,282.7,NO2,Very Unhealthy
Chengdu,China,186.6,287.3,206.7,233.4,296.1,Ozone,Very Unhealthy
Singapore,Singapore,42.5,61.2,59,39.8,80.8,Ozone,Moderate
Athens,Greece,221.1,170.5,239.3,234.9,274.7,NO2,Very Unhealthy
Honolulu,USA,10.5,36.9,25.3,11.6,34.9,Ozone,Good
Chengdu,China,87.6,127.4,108.5,135.2,108.4,PM2.5,Unhealthy for Sensitive Groups
Kabul,Afghanistan,168.8,181.1,207.1,221.3,268.3,PM2.5,Very Unhealthy
Raipur,India,124.2,175.1,153.9,162.7,172.7,Ozone,Unhealthy
Wellington,New Zealand,135.7,140.8,166.1,167,182.3,PM2.5,Unhealthy
Perth,Australia,135.6,132.4,103.6,176.1,185.2,PM2.5,Unhealthy
Karachi,Pakistan,25,17.3,8.4,15.5,3.7,CO,Good
Kuwait City,Kuwait,129.6,172.3,148.8,195.5,192.6,PM2.5,Unhealthy
Auckland,New Zealand,44.4,36,32.1,31.7,75.2,CO,Moderate
Kuwait City,Kuwait,116.9,142.8,135,192.9,160.3,PM2.5,Unhealthy
Taipei,Taiwan,77.6,35.8,50.3,52.6,95.3,CO,Moderate
Mexico City,Mexico,262.6,465.2,416.8,456.7,469.8,Ozone,Hazardous
Delhi,India,153.4,171.1,104.2,195.4,156.4,PM2.5,Unhealthy
Linfen,China,120,95.5,64.3,127.6,116.2,PM2.5,Unhealthy for Sensitive Groups
Budapest,Hungary,75.7,131.6,118.6,99.7,107.3,Ozone,Unhealthy for Sensitive Groups
Perth,Australia,267.5,267.7,215.9,220.7,231.4,Ozone,Very Unhealthy
Helsinki,Finland,69,71.5,29.4,42.8,76.2,Ozone,Moderate
Beijing,China,193.1,245.8,174.4,249,281.9,PM2.5,Very Unhealthy
Kuwait City,Kuwait,111.4,141.7,142,169.2,158.5,PM2.5,Unhealthy
Dublin,Ireland,5.2,22.5,7.1,7,15,Ozone,Good
Raipur,India,321.5,294.5,277.4,476.2,456.1,PM2.5,Hazardous
Seattle,USA,23.5,0.9,6.8,27.9,24.8,PM2.5,Good
Copenhagen,Denmark,283.2,364.4,336.3,356.5,312.7,Ozone,Hazardous
Cape Town,South Africa,124.7,145.2,109.1,177.5,180.7,PM2.5,Unhealthy
Copenhagen,Denmark,58.2,50.4,64.9,45.6,93,NO2,Moderate
Prague,Czech Republic,427.9,375.7,420.8,425.8,317.7,CO,Hazardous
Portland,USA,174.9,121,106.1,153,196.1,CO,Unhealthy
Seattle,USA,371.2,285.7,467.7,408.4,435,NO2,Hazardous
Buenos Aires,Argentina,109.9,137.1,91.5,98.1,132.1,Ozone,Unhealthy for Sensitive Groups
Honolulu,USA,191.8,173.7,252.3,256.3,253.6,PM2.5,Very Unhealthy
Gwalior,India,126.7,170.6,114.6,145.1,168.5,Ozone,Unhealthy
Mumbai,India,116.3,173.9,136.1,172.5,170.8,Ozone,Unhealthy
Raipur,India,164.2,206,198.1,251,254.6,PM2.5,Very Unhealthy
Baghdad,Iraq,121.5,139.8,130.6,186.2,165.9,PM2.5,Unhealthy
Rome,Italy,177.2,156.9,162,196.4,182,PM2.5,Unhealthy
Warsaw,Poland,148.9,151.3,111.4,170.2,173.9,PM2.5,Unhealthy
Rome,Italy,235,279.2,271.8,273.1,275.5,Ozone,Very Unhealthy
Cairo,Egypt,28.2,24.7,10.1,8.8,14.6,CO,Good
Perth,Australia,223.6,237.7,248.7,280.6,202.8,PM2.5,Very Unhealthy
Peshawar,Pakistan,138.1,156.9,169.9,180.8,177.4,PM2.5,Unhealthy
Lima,Peru,276.9,273.2,329.7,288.3,490.5,NO2,Hazardous
Seoul,South Korea,166.3,182.1,156.7,192,152.3,PM2.5,Unhealthy
Manila,Philippines,15,26.1,11.1,1.4,13.9,Ozone,Good
Shanghai,China,19.1,26.1,5.9,9.6,29,Ozone,Good
Amsterdam,Netherlands,54.1,50.4,53.6,85.1,83.5,PM2.5,Moderate
Tashkent,Uzbekistan,15.2,32.8,12.7,29.9,17.2,Ozone,Good
Dublin,Ireland,96.9,120.6,91.1,107.8,142.9,Ozone,Unhealthy for Sensitive Groups
Peshawar,Pakistan,23.8,80.1,63.7,65.4,51.8,Ozone,Moderate
Baghdad,Iraq,123.1,147.7,174.4,146.7,190.6,NO2,Unhealthy
Gwalior,India,57.2,88.1,45.7,63.6,73.4,Ozone,Moderate
Riyadh,Saudi Arabia,159.6,181.1,127.2,188,160.7,PM2.5,Unhealthy
Yangon,Myanmar,3.7,35.4,17.3,11.9,10.8,Ozone,Good
Brussels,Belgium,345.7,308.2,336.8,317.4,371.3,CO,Hazardous
Cape Town,South Africa,108.6,89.7,69.1,109.8,107.4,PM2.5,Unhealthy for Sensitive Groups
Athens,Greece,49.1,86.5,60.1,83.2,56.8,Ozone,Moderate
Baghdad,Iraq,181.7,248.1,273.2,237.3,209.6,NO2,Very Unhealthy
Taipei,Taiwan,63.4,62.1,57.7,52.6,77.5,CO,Moderate
Riyadh,Saudi Arabia,15.1,11.7,27,20.3,0.4,NO2,Good
Patna,India,24.6,30.2,32.5,71,64.7,PM2.5,Moderate
Madrid,Spain,155,140.7,131.3,180.3,156.7,PM2.5,Unhealthy
Helsinki,Finland,107.3,117.6,78,112.9,116.4,Ozone,Unhealthy for Sensitive Groups
Dubai,UAE,414.6,304.9,376.3,310.8,378.7,CO,Hazardous
Dublin,Ireland,266.8,270.1,258.7,281.4,243.5,PM2.5,Very Unhealthy
Portland,USA,276.9,483.1,321,308.2,363.4,Ozone,Hazardous
Honolulu,USA,201.4,238.3,233.7,292.6,291.1,PM2.5,Very Unhealthy
Jakarta,Indonesia,99.1,112.2,83.4,99.8,146.9,Ozone,Unhealthy for Sensitive Groups
Rawalpindi,Pakistan,56.1,80.2,72.7,30.3,68.6,Ozone,Moderate
Manila,Philippines,48.5,64.3,37.7,50.1,85.6,Ozone,Moderate
Seattle,USA,61.2,73.5,32.2,33.3,78.4,Ozone,Moderate
London,UK,428.6,350.9,307.7,421.7,408.7,CO,Hazardous
Los Angeles,USA,210.3,288.1,269.4,194.2,272.9,Ozone,Very Unhealthy
Rawalpindi,Pakistan,22,15.9,7,16.4,45.2,CO,Good
Kolkata,India,148.9,147.9,124.3,160.8,176.1,PM2.5,Unhealthy
Santiago,Chile,67.5,134.8,72.6,114.8,144.5,Ozone,Unhealthy for Sensitive Groups
Helsinki,Finland,167.5,189.1,148.4,162.2,191.8,Ozone,Unhealthy
Zabol,Iran,165.5,150.4,161.4,144.1,160.6,CO,Unhealthy
Singapore,Singapore,110.1,183.9,119.3,168.8,156.4,Ozone,Unhealthy
Colombo,Sri Lanka,87.2,125.7,60.5,121.3,110.9,Ozone,Unhealthy for Sensitive Groups
Amsterdam,Netherlands,129.8,163.3,155.1,163.7,162.3,PM2.5,Unhealthy
Helsinki,Finland,455.1,414.5,345.3,429.7,407.4,CO,Hazardous
Tehran,Iran,309.4,353,405.7,437.7,483.9,PM2.5,Hazardous
Bucharest,Romania,3.5,32.1,18.5,31.1,15.8,Ozone,Good
Tokyo,Japan,125.9,123.3,95.9,132,108.5,PM2.5,Unhealthy for Sensitive Groups
Berlin,Germany,30.8,36.8,66.4,69,81.4,PM2.5,Moderate
Faridabad,India,50.1,76.1,54.8,34.8,89.4,Ozone,Moderate
Paris,France,373.7,470.5,397.3,320.4,446.3,Ozone,Hazardous
Prague,Czech Republic,27.8,8.6,1.4,19,6.9,CO,Good
Paris,France,163.2,258.2,254.2,236.6,257.2,Ozone,Very Unhealthy
Seattle,USA,72.5,136.3,86.4,129.1,141.3,Ozone,Unhealthy for Sensitive Groups
Rio de Janeiro,Brazil,114.7,148.5,123.1,187.5,181.7,PM2.5,Unhealthy
Brisbane,Australia,110.6,124.1,104.3,97.8,107.8,Ozone,Unhealthy for Sensitive Groups
Dublin,Ireland,77.4,65.9,64.2,85,79.1,PM2.5,Moderate
Cape Town,South Africa,278.8,257.1,276,282.8,293.9,PM2.5,Very Unhealthy
Baghdad,Iraq,41.5,71.7,34.7,68.8,76.5,Ozone,Moderate
Tokyo,Japan,24.7,21,4,33.8,17.3,PM2.5,Good
Athens,Greece,80.9,137.7,70.9,102.6,136,Ozone,Unhealthy for Sensitive Groups
Allahabad,India,70,42.8,26.2,83.2,70.5,PM2.5,Moderate
Melbourne,Australia,176.2,167.7,143.5,153.1,153.9,CO,Unhealthy
Colombo,Sri Lanka,114.6,102.5,110.4,120.1,133.9,PM2.5,Unhealthy for Sensitive Groups
Oslo,Norway,60.4,90.1,89.4,122.3,104.1,PM2.5,Unhealthy for Sensitive Groups
Delhi,India,113.7,121.6,100.4,99.1,103.4,Ozone,Unhealthy for Sensitive Groups
Kolkata,India,24,64.6,58,59.7,91.6,Ozone,Moderate
Chennai,India,167.6,189.8,111.1,143.7,174.7,Ozone,Unhealthy
Dublin,Ireland,459.7,380.9,393.5,498.5,344.1,PM2.5,Hazardous
New York,USA,160.8,235,253.1,222.1,268.8,NO2,Very Unhealthy
Honolulu,USA,175.8,166.5,144.8,138.7,180.1,CO,Unhealthy
Kathmandu,Nepal,157.5,121.2,128.7,155.4,189.1,CO,Unhealthy
Brussels,Belgium,142.2,172.7,165.5,181.5,194.7,PM2.5,Unhealthy
Jakarta,Indonesia,26.4,30.8,39.8,38.7,92.9,NO2,Moderate
Bucharest,Romania,66.7,128.3,68.7,102.5,139.6,Ozone,Unhealthy for Sensitive Groups
Tokyo,Japan,25.5,9.8,20,21.4,30,CO,Good
Oslo,Norway,133.9,138.7,121.8,158.5,153.2,PM2.5,Unhealthy
Kolkata,India,360.9,494.5,280.1,402.7,496.1,Ozone,Hazardous
Wellington,New Zealand,3.5,21,17.4,18.4,13.5,Ozone,Good
Rio de Janeiro,Brazil,424.6,449.8,264.3,499,464.6,PM2.5,Hazardous
Chennai,India,129.8,106.2,94.2,126.5,138.2,CO,Unhealthy for Sensitive Groups
Riyadh,Saudi Arabia,29.5,36.8,32.1,47.1,61.6,PM2.5,Moderate
Perth,Australia,113.5,170,143.5,172.2,167.2,PM2.5,Unhealthy
Gwalior,India,110.1,148.5,155.3,187.8,184.8,PM2.5,Unhealthy
Buenos Aires,Argentina,126.9,175.6,127.6,195.1,156.1,PM2.5,Unhealthy
Faridabad,India,481.7,491.5,490.1,291.2,474,Ozone,Hazardous
Wuhan,China,209.8,195.4,230.1,273,209,PM2.5,Very Unhealthy
Vienna,Austria,68.3,74.2,79.7,87.7,124.8,PM2.5,Unhealthy for Sensitive Groups
Seoul,South Korea,36.3,39.3,35.4,79.3,73.3,PM2.5,Moderate
Paris,France,437.2,332.6,347.5,296.5,378.8,CO,Hazardous
Prague,Czech Republic,121.4,121.9,126.5,183,199.1,PM2.5,Unhealthy
Dhaka,Bangladesh,4.6,38.9,22.2,0.8,29.8,Ozone,Good
Yangon,Myanmar,76.3,77.3,103.3,135.4,144.4,PM2.5,Unhealthy for Sensitive Groups
Madrid,Spain,10.4,37.8,12.4,13.2,48.5,Ozone,Good
Seoul,South Korea,266,351.6,474.2,485.5,417.8,PM2.5,Hazardous
Brisbane,Australia,220.6,215.3,167.8,215.1,266.6,CO,Very Unhealthy
Portland,USA,161.8,159.5,131.9,144.9,177.7,CO,Unhealthy
Rio de Janeiro,Brazil,125.3,145.7,131.2,163.3,169.6,PM2.5,Unhealthy
Singapore,Singapore,138.1,169.7,113.7,133.7,188.6,Ozone,Unhealthy
Peshawar,Pakistan,156.8,130.7,147.8,154.3,172.9,CO,Unhealthy
Calgary,Canada,38.4,69.5,43.4,41.1,91.3,Ozone,Moderate
Hanoi,Vietnam,102.4,117.7,106.3,129.5,142.1,PM2.5,Unhealthy for Sensitive Groups
Baghdad,Iraq,379.6,338.6,470.8,281,427,NO2,Hazardous
Beijing,China,183.2,209.5,252.1,245.3,284.8,NO2,Very Unhealthy
Brussels,Belgium,450.8,449.9,270.7,377.2,347.1,CO,Hazardous
Mexico City,Mexico,137.2,166.8,102.6,138.6,182.2,Ozone,Unhealthy
Amsterdam,Netherlands,21.8,20.9,11.9,9.1,22,CO,Good
Peshawar,Pakistan,97.2,125.1,110.6,88.8,136,Ozone,Unhealthy for Sensitive Groups
Yangon,Myanmar,190.7,197,189.3,218.5,233.8,PM2.5,Very Unhealthy
Rio de Janeiro,Brazil,9.8,33.3,12.3,23.8,32.5,Ozone,Good
Seattle,USA,71.1,111.6,76.2,80.8,102.1,Ozone,Unhealthy for Sensitive Groups
Guangzhou,China,19,23.4,28.8,11.7,22.2,NO2,Good
Bangalore,India,120.8,153.2,143.4,185.6,176.8,PM2.5,Unhealthy
Faridabad,India,172.9,221.1,193.8,211.7,244.2,Ozone,Very Unhealthy
Madrid,Spain,261.3,193.8,230.6,249.1,283.7,CO,Very Unhealthy
Agra,India,89.1,121.7,110,112.6,118.2,Ozone,Unhealthy for Sensitive Groups
Dubai,UAE,17.1,30.6,1,14,0.8,Ozone,Good
Lahore,Pakistan,420.8,363.7,413.3,474.9,368,PM2.5,Hazardous
Seoul,South Korea,214.5,180,160.3,260.4,247.3,PM2.5,Very Unhealthy
Baghdad,Iraq,107.1,93.5,87.8,130.3,140.1,PM2.5,Unhealthy for Sensitive Groups
Karachi,Pakistan,67.5,134.4,64.6,84.6,129.9,Ozone,Unhealthy for Sensitive Groups
Hanoi,Vietnam,275.6,264.3,224.9,279.7,212.7,PM2.5,Very Unhealthy
Lima,Peru,52.2,31.5,37.3,77.9,58.3,PM2.5,Moderate
Brisbane,Australia,253.2,287.3,190.1,196,263.1,Ozone,Very Unhealthy
Copenhagen,Denmark,22.5,50.8,46.9,55.7,58.4,PM2.5,Moderate
Taipei,Taiwan,50.7,74.1,39.1,50.8,69.8,Ozone,Moderate
Casablanca,Morocco,176,224.3,266.3,215.1,211.2,NO2,Very Unhealthy
Ulaanbaatar,Mongolia,437.3,471.1,366.4,389.8,386.5,Ozone,Hazardous
Shanghai,China,17.8,39.6,22.2,11.3,21.1,Ozone,Good
Tehran,Iran,126.7,131.5,71.6,114.4,118.2,Ozone,Unhealthy for Sensitive Groups
Wuhan,China,268.7,342.9,285.2,486.2,402.1,PM2.5,Hazardous
Kolkata,India,263.3,209.1,227.9,298.3,254.8,PM2.5,Very Unhealthy
Oslo,Norway,7,1.7,4.9,11.7,42.2,PM2.5,Good
Raipur,India,351.8,360,271.3,439.1,474.3,PM2.5,Hazardous
Dhaka,Bangladesh,17.4,29.8,8.9,12.1,45.6,Ozone,Good
Peshawar,Pakistan,71.3,73.6,48,66.7,59.6,Ozone,Moderate
Delhi,India,159.9,125,138.5,181.3,154.8,PM2.5,Unhealthy
Chengdu,China,418.2,369.6,357.4,332.4,421.3,CO,Hazardous
Hyderabad,India,69.8,42.9,64.3,56.2,96.5,CO,Moderate
Yangon,Myanmar,171.5,149.8,104.5,196,191.6,PM2.5,Unhealthy
Perth,Australia,492.4,453,429.2,404.2,493.8,CO,Hazardous
Melbourne,Australia,134.7,169.9,137.6,168,160.5,Ozone,Unhealthy
Sydney,Australia,265.2,263.4,178.8,221.9,265.2,CO,Very Unhealthy
Oslo,Norway,43,30.6,60.4,75.7,61.4,PM2.5,Moderate
Helsinki,Finland,119,134.2,83.7,124.7,102.8,Ozone,Unhealthy for Sensitive Groups
Istanbul,Turkey,119.1,185.8,123.6,141.9,155.8,Ozone,Unhealthy
Calgary,Canada,113,189.5,121,185.3,157.5,Ozone,Unhealthy
Oslo,Norway,118.5,137.9,125.8,179.5,188,PM2.5,Unhealthy
Rome,Italy,365.7,270.8,408.4,484.4,353.9,PM2.5,Hazardous
Johannesburg,South Africa,155,120.7,160.8,184.7,152.6,PM2.5,Unhealthy
Santiago,Chile,53.8,35,55.4,52.9,72.3,NO2,Moderate
Bangalore,India,22.8,2.5,27.8,12.4,36,NO2,Good
Rawalpindi,Pakistan,220.8,197.6,231.3,196.3,299,NO2,Very Unhealthy
Riyadh,Saudi Arabia,60.3,79.8,50,52.5,76.7,Ozone,Moderate
Zurich,Switzerland,242.4,221,248.3,241.6,242,NO2,Very Unhealthy
Gwalior,India,33.6,35.1,55.6,67.3,71.8,PM2.5,Moderate
Bucharest,Romania,489.6,308.7,441,431.6,434.6,CO,Hazardous
Hyderabad,India,256.1,266.8,228.4,212.8,212.9,Ozone,Very Unhealthy
Hyderabad,India,52.5,47.8,41.2,82,86.3,PM2.5,Moderate
Bogota,Colombia,148.3,128.8,169.8,185,171.7,PM2.5,Unhealthy
Istanbul,Turkey,280.2,494.6,304.7,499.6,307.6,PM2.5,Hazardous
Dubai,UAE,38.9,53.9,29.2,64.3,71.8,PM2.5,Moderate
Ulaanbaatar,Mongolia,58.5,32.3,70.8,88.6,83.7,PM2.5,Moderate
Berlin,Germany,213.7,242.4,199.7,225.8,206.5,Ozone,Very Unhealthy
Perth,Australia,63.2,68.6,57.5,56.6,74.3,Ozone,Moderate
Bogota,Colombia,143.4,124.7,106.8,199.5,193,PM2.5,Unhealthy
Bangkok,Thailand,277,234,191.6,196.5,276.7,CO,Very Unhealthy
Lahore,Pakistan,178.9,141,152.7,176,192.9,CO,Unhealthy
Copenhagen,Denmark,41.1,67.7,64.2,73.6,73.5,PM2.5,Moderate
Rio de Janeiro,Brazil,164.6,166.1,135.8,181.3,161,PM2.5,Unhealthy
Guangzhou,China,147.8,182.9,110.6,147.9,162.1,Ozone,Unhealthy
Dublin,Ireland,252.9,184.7,267.2,222.3,207.4,NO2,Very Unhealthy
Kolkata,India,72.6,137.6,114.6,99.5,149.2,Ozone,Unhealthy for Sensitive Groups
São Paulo,Brazil,15.8,33.7,18.6,29.1,30.6,Ozone,Good
Guangzhou,China,39.9,44.8,37.1,59.3,53.2,PM2.5,Moderate
Faridabad,India,130.1,162.8,152.1,196.7,162.2,PM2.5,Unhealthy
Melbourne,Australia,59.6,63.5,49.1,70.9,81.3,PM2.5,Moderate
Casablanca,Morocco,15.4,20.8,22.2,9.3,46.8,NO2,Good
São Paulo,Brazil,255.8,197.5,211.5,267.1,216.6,PM2.5,Very Unhealthy
Madrid,Spain,29.1,33.7,19.5,23.8,42.3,Ozone,Good
Jakarta,Indonesia,49.7,78.4,71.8,34.9,51.6,Ozone,Moderate
Copenhagen,Denmark,172.9,181.5,227.8,228.1,242.9,PM2.5,Very Unhealthy
Chengdu,China,481.2,425.1,376.8,456.8,329.7,CO,Hazardous
Seoul,South Korea,61.1,35.2,39.9,36.3,61,CO,Moderate
Osaka,Japan,67.5,85.8,102,129.7,125.5,PM2.5,Unhealthy for Sensitive Groups
Lima,Peru,30.5,66.4,32.9,37.4,63.1,Ozone,Moderate
Raipur,India,68.8,105.1,62,108.6,121.2,PM2.5,Unhealthy for Sensitive Groups
Copenhagen,Denmark,26.2,68,38.8,62.5,61.9,Ozone,Moderate
Portland,USA,140.4,142.8,141.4,152.5,171.4,PM2.5,Unhealthy
Riyadh,Saudi Arabia,63.7,61.4,25.8,69.5,71.4,PM2.5,Moderate
Wuhan,China,169.2,182,150.7,187.6,157.3,PM2.5,Unhealthy
Honolulu,USA,400.6,430,329.5,449.4,372.7,PM2.5,Hazardous
Sydney,Australia,135.8,155.8,166,140.6,172.2,NO2,Unhealthy
Raipur,India,167.5,172,120.1,172.8,199.1,PM2.5,Unhealthy
Brisbane,Australia,0.4,4.8,11.6,21.6,42,PM2.5,Good
Cairo,Egypt,8,8.3,15.7,19.5,39,PM2.5,Good
Faridabad,India,114.4,108.3,65.2,85.9,111.6,CO,Unhealthy for Sensitive Groups
Wuhan,China,381.2,279.7,408.9,440.7,427.8,PM2.5,Hazardous
Bishkek,Kyrgyzstan,87.1,92.5,88.5,108.4,112.3,PM2.5,Unhealthy for Sensitive Groups
Chicago,USA,30.5,45.3,72.1,39.1,68.5,NO2,Moderate
Tianjin,China,32.3,80.7,46.9,30.3,61.6,Ozone,Moderate
Wellington,New Zealand,15.9,34.9,21.2,23.6,20.3,Ozone,Good
Chengdu,China,62.2,102.2,93.2,93,116.2,Ozone,Unhealthy for Sensitive Groups
Mexico City,Mexico,123.8,116.3,88.7,132.6,117.7,PM2.5,Unhealthy for Sensitive Groups
São Paulo,Brazil,114.9,133.9,136.1,183.9,163.5,PM2.5,Unhealthy
Seoul,South Korea,56.6,68.2,49.2,81.7,90.7,PM2.5,Moderate
Kuala Lumpur,Malaysia,23.9,21.2,11.3,21.5,32.7,CO,Good
Budapest,Hungary,117.9,95.8,115.5,105.6,142.7,CO,Unhealthy for Sensitive Groups
Los Angeles,USA,121.4,103.2,92.5,137.2,140,PM2.5,Unhealthy for Sensitive Groups
Delhi,India,50.6,46.1,61.9,84.7,91.2,PM2.5,Moderate
Johannesburg,South Africa,407.3,489,315.3,408.8,496.9,Ozone,Hazardous
Reykjavik,Iceland,105.7,116.9,88.1,90,105.6,Ozone,Unhealthy for Sensitive Groups
Kuwait City,Kuwait,9.1,21.8,28.1,10.4,45.3,NO2,Good
Budapest,Hungary,127.6,128.3,156.9,198.3,181,PM2.5,Unhealthy
